UniProtKB	ENSEMBL_ID	HGNC
P00338	ENSG00000134333	LDHA
P00338	ENSG00000288299	LDHA
P07864	ENSG00000166796	LDHC
Q9H4Y5	ENSG00000065621	GSTO2
Q9H221	ENSG00000143921	ABCG8
Q71RS6	ENSG00000188467	SLC24A5
Q6ZMR3	ENSG00000166800	LDHAL6A
P07195	ENSG00000111716	LDHB
P45844	ENSG00000160179	ABCG1
Q96DV4	ENSG00000204316	MRPL38
P33993	ENSG00000166508	MCM7
O60832	ENSG00000130826	DKC1
Q9UJA3	ENSG00000125885	MCM8
P40926	ENSG00000146701	MDH2
A0A3B3IRV3	ENSG00000101898	MCTS2P
Q9NYU1	ENSG00000102595	UGGT2
P33991	ENSG00000104738	MCM4
Q9ULC4	ENSG00000232119	MCTS1
Q9ULC4	ENSG00000288295	MCTS1
P30086	ENSG00000089220	PEBP1
P25205	ENSG00000112118	MCM3
P49736	ENSG00000073111	MCM2
Q14566	ENSG00000076003	MCM6
Q13769	ENSG00000100296	THOC5
Q9BYZ2	ENSG00000171989	LDHAL6B
Q9H172	ENSG00000172350	ABCG4
Q9NYU2	ENSG00000136731	UGGT1
